"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1893804844487500091","Sun Feb 23 23:27:14 +0000 2025","0","seperti biasa sudah bisa diprediksi yahud* zion*s selalu melanggar perjanjian gencatan senjata dengan alasan mengada-ada . . . kader PDIP jadi retret tidak? #PrabowoMuridPatuhJokowi PSSI naturalisasi pemain #TimnasIndonesia lagi? #KaburAjaDulu https://t.co/i77XBwRANy","1893804844487500091","https://pbs.twimg.com/media/GkgldnrasAAnJai.png","","in","","0","0","0","https://x.com/Mynewakun190904/status/1893804844487500091","1871361740824551424","Mynewakun190904"
"1893799332836700603","Sun Feb 23 23:05:20 +0000 2025","0","Ramai #KaburAjaDulu Terry Putri: Aku Nggak Kabur ke Luar karena Menikah https://t.co/Ek9YSwrDXO","1893799332836700603","","","in","Jakarta, Indonesia","0","0","0","https://x.com/detikhot/status/1893799332836700603","137282671","detikhot"
"1893722245492609219","Sun Feb 23 22:59:05 +0000 2025","0","@hermionyyye Aku mau kak persiapan #KaburAjaDulu","1893797758386966972","","hermionyyye","in","","0","0","0","https://x.com/Harjin01/status/1893797758386966972","1450585191836110849","Harjin01"
"1893795392904384941","Sun Feb 23 22:49:41 +0000 2025","0","sudah saatnya kah aing ikut #KaburAjaDulu biar bsa ktmu sama ritsuki","1893795392904384941","","","in","Germany","0","0","0","https://x.com/pimchann__/status/1893795392904384941","1437302787478462464","pimchann__"
"1893792973860573602","Sun Feb 23 22:46:56 +0000 2025","0","@p_nkcat Mauu ikut tren #KaburAjaDulu","1893794702878486995","","mawryjjane","in","Free trade zone","0","1","0","https://x.com/gnibmohisesoj/status/1893794702878486995","1042457464795361280","gnibmohisesoj"
"1893793967449231660","Sun Feb 23 22:44:01 +0000 2025","0","Aku keknya beneran mau belajar bahasa Jepang lagi dan kepikiran kalau ada kesempatan mau join tren #KaburAjaDulu Makin miris liat Indonesia makin Gelap sejak dipegang si gemoy Udah ga ikut milih tapi tetep nanggung imbas kebijakan gajenya","1893793967449231660","","","in","Indonesia","0","0","0","https://x.com/shieunp_/status/1893793967449231660","3238434908","shieunp_"
"1893508739669340167","Sun Feb 23 22:30:33 +0000 2025","0","@niwseir Another person with trauma dump.. oh.. look so dumb!!! Dikit2 cult tai!!! Masa sampai saat ini ga sadar sih kalo pemerintah honinya pelintar pelintir??? Wkwkwk.. Emang anies scra riil bahas #KaburAjaDulu sampe Doha ga sapet pesennya apa? Wkwk..","1893790579164639558","","niwseir","in","Special Region","0","0","0","https://x.com/twentyfirstof3/status/1893790579164639558","958944903538462720","twentyfirstof3"
"1893784836399099969","Sun Feb 23 22:07:44 +0000 2025","2","The contradictory responses to #KaburAjaDulu between Pak Anies Bahlil and Luhut. Peluang untuk hidup layak besar diluar sana jangan pertanyakan nasionalisme kami it s the system that needs to be questioned constitution that s been violated sehingga rakyat gagal sejahtera.","1893784836399099969","","","in","","0","0","0","https://x.com/merayakan_fana/status/1893784836399099969","1829232344945098752","merayakan_fana"
"1893635251483599234","Sun Feb 23 21:58:39 +0000 2025","0","@kegblgnunfaedh Jelas #KaburAjaDulu karna #IndonesiaDarurat dan #IndonesiaGelap","1893782548771135618","","kegblgnunfaedh","in","Jakarta, Bangkok","0","0","0","https://x.com/Priyo__Muhammad/status/1893782548771135618","99473222","Priyo__Muhammad"
"1893681418674254215","Sun Feb 23 21:50:15 +0000 2025","0","@5rick @awesomeposted @kegblgnunfaedh Aku juga daftar #KaburAjaDulu","1893780437824086441","","5rick","in","Cimenyan, Bandung","0","0","0","https://x.com/kupatt/status/1893780437824086441","178743746","kupatt"
"1893630125289222453","Sun Feb 23 20:58:32 +0000 2025","0","@MARQUEZ__93 @KPK_RI Sudah kita duga dari awal #KaburAjaDulu #IndonesiaGelap","1893767423125323977","","MARQUEZ__93","in","","0","0","0","https://x.com/BantengDotID/status/1893767423125323977","1758470098623553538","BantengDotID"
"1893767135286984804","Sun Feb 23 20:57:24 +0000 2025","1","Buat yang lagi #KaburAjaDulu .. jaga kondisi kalian dan jangan malah jadi beban. Tunjukin bahwa pilihan kalian itu pilihan terbaik","1893767135286984804","","","in","Kota Bogor, Jawa Barat","0","0","0","https://x.com/zenzaiinii/status/1893767135286984804","126555038","zenzaiinii"
"1893180184595177561","Sun Feb 23 20:56:34 +0000 2025","0","@Tekomanjur @narkosun @KPK_RI ...silahkan lapor dan bawa barang bukti Krik..krikk..krikkkk... Auk ahhh elapppp... #KaburAjaDulu #IndonesiaGelap","1893766928289726613","","Tekomanjur","in","","0","0","0","https://x.com/BantengDotID/status/1893766928289726613","1758470098623553538","BantengDotID"
"1893766744197476785","Sun Feb 23 20:55:50 +0000 2025","2","#Asean #Smog #trending #southeastAsia #BakarSampah #KaburAjaDulu #IndonesiaGelap🇮🇩 #AirPollution @infoBMKG @dinaslhdki @DKIJakarta 3.35 am data polusi udara Jkt di kemayoran jakpus.. hujan sdh mereda.. semoga polusi udara tetap dalam keadaan yang baik seperti pada saat ini https://t.co/SnGcrCz2SU","1893766744197476785","https://pbs.twimg.com/media/GkgC0Eua4AAYLPM.jpg","","in","","0","0","0","https://x.com/jakarta7268/status/1893766744197476785","1881092445049634816","jakarta7268"
"1893482158301249827","Sun Feb 23 20:48:57 +0000 2025","0","@detikcom #KaburAjaDulu janganBalikBalik ","1893765009269788681","","detikcom","in","Kebayoran Lama, Indonesia","0","0","0","https://x.com/o7odumeh/status/1893765009269788681","1232261781021609986","o7odumeh"
"1893754219632500805","Sun Feb 23 20:06:04 +0000 2025","0","#KaburAjaDulu trending sekarang omg enak bgt jadi orang i remember back in 2021-23 gw punya rencana buat well living abroad (niatnya hampir mirip sm # itu) (i don t want to anymore btw) dan reaksi dari orang sekitar waktu itu ga supportive (they called me westernized etc) OH..","1893754219632500805","","","in","eden","0","0","0","https://x.com/van182102896383/status/1893754219632500805","1888629957099962368","van182102896383"
